,G1-Ah,G1-Bw,G1-Cox,G11-Ah,G11-Bw,G11-Cox,G2-Ah,G2-Bw,G2-Cox,G3a-Ah,G3a-Bw,G3a-Cox,G9-Ah,G9-Bw,G9-Cox,Ah-1-1,Ah-1-2,Ah-2-1,Ah-2-2,II-P-1-1,II-P-1-2,II-P-2-1,II-P-2-2,Of-1-1,Of-1-2,Of-2-1,Of-2-2,arctic_tundra_TL1,boreal_forest_BZ1,hot_desert_MD3,hot_desert_SF2,hot_desert_SV1,polar_desert_EB017,polar_desert_EB019,polar_desert_EB020,polar_desert_EB021,polar_desert_EB024,polar_desert_EB026,temeprate_coniferous_forest_DF1,temeprate_deciduous_forest_CL1,temeprate_grassland_KP1,tropical_forest_AR3,tropical_forest_PE6,2012_10_Soy_No,2012_11_Corn_Yes,2012_12_Soy_Yes,2012_13_Corn_Yes,2012_14_Soy_Yes,2012_15_Corn_Yes,2012_16_soy_Yes,2012_17_Corn_Yes,2012_18_soy_Yes,2012_19_Corn_Yes,2012_1_corn_No,2012_20_Soy_Yes,2012_2_Soy_No,2012_3_corn_No,2012_4_Soy_No,2012_5_Corn_No,2012_6_Soy_No,2012_7_corn_No,2012_8_Soy_No,2012_9_Corn_No,2013_11_Soy_Yes,2013_12_Corn_Yes,2013_13_Corn_Yes,2013_14_Corn_Yes,2013_15_Soy_Yes,2013_16_Corn_Yes,2013_17_Soy_Yes,2013_18_Corn_Yes,2013_19_Soy_Yes,2013_1_Soy_No,2013_20_Corn_Yes,2013_23_forest,2013_24_forest,2013_2_Corn_No,2013_3_Soy_No,2013_5_Soy_No,2013_6_Corn_No,2013_7_Soy_No,2013_8_Corn_No,2013_9_Soy_No,ERR1104480.fastq.gzaligned,ERR1104481.fastq.gzaligned,ERR476938_1.fastq.gzaligned,ERR476939_1.fastq.gzaligned,ERR476940_1.fastq.gzaligned,ERR476941_1.fastq.gzaligned,ERR476942_1.fastq.gzaligned,ERR476943_1.fastq.gzaligned,ERR476944_1.fastq.gzaligned,ERR476945_1.fastq.gzaligned,ERR476946_1.fastq.gzaligned,ERR481108_1.fastq.gzaligned,ERR481109_1.fastq.gzaligned,ERR481110_1.fastq.gzaligned,ERR481111_1.fastq.gzaligned,ERR481112_1.fastq.gzaligned,ERR515173_1.fastq.gzaligned,ERR515174_1.fastq.gzaligned,ERR515176_1.fastq.gzaligned,ERR515177_1.fastq.gzaligned,ERR515178_1.fastq.gzaligned
DNA phosphorothioation,98,109,70,126,203,97,82,55,67,203,147,106,173,131,83,77,72,25,20,44,41,71,69,96,99,101,94,19,45,89,85,144,25,14,43,11,67,197,16,27,24,20,47,2,2,4,8,4,0,3,5,0,0,1,1,4,5,1,3,8,4,3,4,1,0,4,8,7,6,3,3,7,2,4,5,9,2,0,2,1,1,3,4,210,201,51,51,28,37,27,22,2,17,8,18,22,70,18,19,19,19,38,27,36
Quinone disambuiguation,423,302,233,363,473,266,294,262,218,498,542,472,615,487,464,207,184,59,67,187,168,291,280,220,219,294,269,145,166,74,124,195,228,13,158,89,144,104,89,140,134,111,179,16,13,4,33,21,12,25,10,1,0,9,17,26,16,14,10,24,13,27,9,10,0,19,22,21,18,34,33,21,19,19,23,30,20,2,13,20,7,19,13,670,675,115,86,50,84,117,205,18,107,49,79,77,208,54,64,54,55,67,89,101
RNA processing and degradation_ bacterial,3338,2864,1884,3909,5165,2733,2745,2273,1709,4841,5251,3972,6001,4527,4193,1371,1245,411,407,1181,1120,1767,1742,2024,1961,2438,2353,1492,1508,1048,1263,2210,1630,2220,2009,1426,2607,2142,790,1351,1067,864,1826,160,147,41,421,173,160,196,123,0,0,136,157,259,82,118,95,250,125,284,155,105,9,194,198,280,200,222,347,173,115,200,212,259,145,11,145,163,72,155,166,7055,6850,1283,1033,515,1121,1401,1581,154,975,430,885,595,1812,406,412,434,385,637,598,609
Polyprenyl Diphosphate Biosynthesis,18,11,4,9,23,13,13,7,6,23,9,8,22,12,16,5,3,0,0,5,2,4,5,8,6,8,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,15,2,4,10,13,11,2,6,1,1,3,4,0,3,4,0,2,2,1
Maltose and Maltodextrin Utilization,12638,9504,6480,13457,16798,8643,9759,7277,5312,19204,14934,10635,22078,14378,12381,5091,4704,1579,1516,5048,4837,7491,7301,4957,4729,6203,6055,3015,3409,4702,4117,7430,2742,5909,5733,4382,7039,3287,2304,3598,3822,3108,4525,637,545,103,1433,513,573,678,543,1,3,416,495,753,271,444,467,998,606,778,574,400,33,626,683,740,640,612,1126,646,292,601,614,755,383,39,510,579,215,467,492,22808,22095,4979,3150,1680,4636,4887,4880,588,3366,1490,3277,2214,6169,1449,1500,1926,1698,2234,2134,2338
Pterin biosynthesis,426,391,269,427,635,372,370,284,223,634,640,516,728,565,543,170,142,53,69,147,138,220,226,177,169,242,214,111,128,147,141,221,142,100,173,83,161,121,78,103,94,107,168,15,21,3,36,9,10,19,7,0,0,5,9,26,3,8,7,31,14,19,19,12,0,14,14,17,17,18,28,21,7,25,22,30,14,0,10,17,5,16,11,854,838,197,143,62,151,153,132,15,93,36,93,59,156,49,55,37,47,54,59,63
N-linked Glycosylation in Bacteria,1444,1246,865,1616,2246,1137,1086,973,748,1974,2192,1704,2583,1989,2022,564,478,146,159,446,446,693,671,740,712,871,868,455,409,321,441,586,698,642,547,476,639,802,228,356,317,288,449,47,41,6,100,36,36,57,34,0,0,35,38,84,19,46,31,75,26,76,47,24,6,48,56,82,68,56,92,53,30,42,59,68,38,9,39,49,22,40,46,3034,2919,614,472,244,556,408,312,53,368,168,325,235,691,140,146,195,151,209,251,235
Polyamine Metabolism,3460,3285,2235,4903,6129,3583,2734,2589,2210,6133,5988,4741,7579,5558,5943,1410,1291,431,424,1275,1226,1890,1824,1739,1688,2138,2059,1163,1368,1231,1295,2258,864,439,1658,629,1372,1049,1015,1533,1367,1249,1878,343,224,44,709,249,254,278,222,3,2,179,207,367,126,196,218,455,268,421,285,176,19,311,310,299,285,199,457,305,133,220,309,379,172,19,235,258,103,213,264,10171,9886,1768,1403,693,1389,1054,779,139,908,365,1263,794,2066,500,547,694,664,507,460,456
Cresol degradation,27,32,10,18,53,24,22,16,17,36,24,29,48,25,31,7,9,2,2,13,7,20,21,10,9,17,19,10,3,6,5,5,1,0,1,0,0,0,1,5,3,6,5,2,1,0,5,1,0,5,3,0,0,0,1,3,0,1,2,0,2,0,0,0,1,3,2,1,2,1,5,2,0,2,2,1,1,0,0,4,1,0,1,74,76,6,5,1,8,14,6,0,1,4,5,12,15,6,7,8,6,5,3,10
Respiration / HGM,3069,2430,1664,3140,4416,2235,2233,1771,1256,4648,3930,2845,4979,3426,2969,2081,1867,668,628,1838,1775,2885,2808,2085,2017,2589,2522,1488,1390,787,701,1346,430,810,825,572,951,734,1022,1580,1016,840,1774,170,162,44,400,164,192,233,135,1,1,117,169,268,73,129,122,298,159,282,157,125,14,208,241,315,217,197,398,210,116,202,224,298,134,10,156,177,68,172,167,8995,8712,1107,904,462,893,1740,2719,175,1210,492,1087,863,2254,527,598,947,867,1254,1290,1295
Nitrogen fixation,244,252,167,335,478,265,233,209,184,458,542,416,613,386,423,147,144,47,40,228,242,335,328,143,150,208,189,738,202,77,133,173,203,7,107,56,105,50,111,232,151,218,272,38,19,10,35,17,20,24,14,0,0,14,21,57,16,28,22,60,32,40,25,20,3,42,37,39,32,25,35,27,18,27,48,70,29,2,21,21,14,21,22,936,925,136,124,59,128,94,292,38,270,107,186,220,677,109,117,249,237,289,299,306
Ton and Tol transport systems,12692,11968,7819,14087,20111,11298,10077,9461,7047,21775,22812,15375,23167,17256,16466,7427,6381,2412,2210,6189,5837,9614,9229,8244,8027,10104,9658,2975,3025,1836,2505,4198,3324,1755,2497,1498,2615,3144,1586,2721,2265,2002,4342,288,239,56,589,294,261,326,229,2,2,203,229,534,106,292,181,504,306,438,264,261,20,348,389,534,420,435,627,390,202,323,404,479,280,25,235,294,120,306,258,26758,25728,4261,3663,1866,3475,4191,3849,447,2860,1292,2902,2376,6367,1465,1507,1342,1226,2097,2095,2109
4-Hydroxyphenylacetic acid catabolic pathway,902,732,554,831,1185,683,635,640,373,1369,1172,833,1422,924,862,449,408,131,129,393,362,600,585,402,391,497,481,157,206,154,183,254,127,15,95,32,96,62,202,330,199,272,511,41,40,7,74,41,38,35,22,0,0,33,23,53,10,27,30,77,29,55,37,18,2,42,36,36,38,47,69,33,17,26,65,78,21,3,33,42,20,33,24,1977,1958,225,149,88,209,296,317,26,181,88,183,106,305,104,79,82,73,94,77,107
Pyridoxin (Vitamin B6) Biosynthesis,1628,1502,1162,2148,2976,1585,1264,1124,1019,2496,2742,2170,3366,2668,2455,698,638,189,198,573,562,906,888,902,898,1145,1091,719,716,884,823,1470,1048,1020,1357,861,1610,934,417,646,585,537,822,139,99,21,303,128,98,125,91,0,1,82,109,172,56,82,70,191,106,167,108,69,7,153,180,188,123,110,218,140,59,126,118,178,128,13,87,110,58,105,85,3877,3731,721,550,311,667,846,1077,114,716,310,493,329,998,249,242,259,225,345,334,343
Gallic acid utilization,31,22,25,46,74,31,25,34,21,50,48,41,61,52,43,17,15,6,9,14,16,21,21,28,28,36,40,10,11,5,3,15,0,0,0,0,0,1,19,16,8,15,59,5,3,1,6,4,2,5,0,0,0,1,2,10,2,3,5,4,6,7,4,1,0,5,6,4,6,5,6,3,2,5,8,10,3,0,3,4,1,2,5,90,101,28,18,11,11,21,10,1,12,1,8,7,10,4,6,6,5,3,6,3
Methionine Biosynthesis,10598,8754,6274,12078,15881,8640,8289,6880,5310,16849,15473,11835,18613,13595,12228,4637,4331,1433,1351,3678,3549,5862,5752,5669,5565,6894,6778,5214,5410,4014,4373,7949,5269,5553,6781,4321,7435,5084,2991,4920,3775,3336,6877,654,525,135,1553,606,593,722,556,1,5,447,488,987,315,497,390,1084,604,985,604,428,41,739,812,980,847,768,1284,730,381,645,848,1126,483,44,577,598,257,615,587,21547,20917,3860,3101,1545,3387,3959,4755,496,3027,1322,2499,1928,5378,1215,1267,1483,1429,1941,1941,1947
B12 Biosynthesis (Tavares copy1),5831,5221,3509,6271,9048,4271,4387,4052,3108,8692,8114,6002,9565,6808,6236,2436,2216,742,689,1900,1780,2971,2863,2707,2567,3356,3189,1128,1548,1649,1437,2554,741,3126,1527,1899,2437,1849,1012,1764,1054,797,1716,239,187,51,546,237,256,295,189,4,1,136,185,299,88,159,153,351,186,275,190,139,14,238,237,248,238,231,450,260,125,227,297,306,140,12,166,209,89,171,209,12022,11583,2184,1802,983,2161,2432,2411,249,1537,611,1357,920,2767,591,597,777,699,971,1009,1002
Universal GTPases,5850,5258,3809,7093,9935,5300,5009,4087,3565,8980,9297,7430,11397,8456,8298,2267,2099,712,678,1844,1802,2961,2888,3172,3116,4117,4008,2502,2557,2413,2637,4901,3837,3776,4966,3120,5956,4210,1349,2318,2088,1577,3075,383,316,62,956,343,359,423,313,2,2,270,330,583,189,299,279,603,312,580,329,240,20,446,545,608,398,420,719,436,209,373,423,540,311,33,329,383,147,368,342,13007,12731,2560,2077,1065,2280,2560,2704,296,1896,799,1683,1124,3648,713,818,808,764,1098,1200,1181
Riboflavin_ FMN and FAD biosynthesis in plants,802,730,475,922,1242,610,578,616,464,1100,1107,897,1388,1150,1160,367,324,105,101,337,305,434,436,371,349,464,432,182,205,119,156,270,255,161,265,175,269,287,112,153,153,119,215,37,16,11,61,25,32,41,31,0,0,23,31,58,11,21,34,53,20,41,25,25,0,55,34,44,39,41,68,32,19,24,34,58,19,1,30,27,16,23,45,1622,1559,288,232,119,263,320,323,32,182,85,180,131,370,74,71,106,82,120,125,114
Threonine degradation,4071,3357,2195,4598,6231,3021,3217,2625,1845,6310,5360,3874,7258,4746,4030,1773,1656,533,507,1264,1267,2143,2076,1881,1811,2362,2276,1201,1272,2548,2212,4613,1497,2681,2294,2386,2744,1393,866,1172,1451,812,1396,265,232,58,593,239,271,276,229,0,2,183,208,363,95,166,185,408,235,348,199,211,19,278,283,370,278,291,449,335,132,272,240,276,165,5,178,247,109,215,227,8171,7971,1578,1042,528,1464,1220,1003,148,915,390,753,416,1264,337,357,334,282,264,294,273
Lysine degradation,1476,829,629,1494,1467,806,1141,707,486,2315,1534,1101,2554,1494,1274,551,541,130,133,473,453,697,694,615,625,790,724,367,350,426,442,831,466,895,837,214,662,719,298,418,462,392,691,102,84,19,276,91,90,115,90,1,1,67,76,139,46,64,69,141,85,134,65,72,1,121,117,131,98,97,153,113,46,85,95,135,63,5,73,82,31,91,85,2978,2843,487,447,178,475,522,430,39,280,123,428,236,672,178,177,319,295,208,190,217
tRNA modification Archaea,1323,1320,941,1517,2431,1351,986,999,800,2026,2350,1955,2598,1851,2042,561,488,155,174,643,572,817,820,631,611,808,751,452,402,446,512,817,912,105,424,387,449,277,254,377,342,445,637,55,47,9,143,61,48,48,47,0,0,45,39,86,29,73,32,138,54,117,64,44,2,70,79,97,65,86,136,74,35,77,78,133,58,3,60,63,29,68,51,2954,2858,682,605,312,678,972,1098,136,771,401,424,412,1070,225,238,349,317,468,501,496
Inositol catabolism,7793,6598,4495,8650,11421,6486,5519,4928,3910,11224,10023,7391,13497,9305,8464,2830,2556,902,813,2432,2330,3700,3612,3190,3122,3952,3861,2243,2166,3109,2644,5223,2979,1929,3011,1238,2696,1563,1198,2043,2123,1247,3003,410,361,64,795,329,353,442,317,3,1,219,275,544,177,251,265,635,340,520,345,257,14,379,343,464,364,385,604,434,147,362,390,452,242,12,294,369,138,306,328,14017,13606,2699,2087,1081,2304,1940,1268,267,1630,688,1657,939,2748,659,685,559,488,533,534,570
One-carbon metabolism by tetrahydropterines,105,75,71,82,187,70,98,62,49,87,133,95,139,115,99,41,38,13,16,20,25,49,51,38,30,48,45,18,15,9,8,10,16,0,6,3,7,3,19,22,15,22,25,0,1,0,6,1,3,2,4,0,0,1,5,5,3,2,1,7,0,5,5,1,0,6,5,2,0,0,2,1,0,1,7,7,3,0,1,3,2,5,3,228,201,30,33,19,45,21,3,3,18,7,18,9,34,3,5,5,7,6,5,7
Folate-mediated one-carbon metabolism in plants,5348,4595,3078,6772,8249,4306,4484,3510,2786,8273,7069,5845,11167,7537,6846,1742,1615,542,511,1425,1389,2268,2241,2323,2271,2849,2838,1590,1767,2274,2313,4316,1981,1458,2734,1212,3039,1994,1079,1779,1991,1543,2464,376,327,53,819,306,309,362,287,1,1,233,289,544,157,311,244,599,335,508,356,235,18,448,479,499,392,426,631,429,195,325,391,531,278,28,307,343,165,306,328,10477,10285,2575,1725,919,2169,2302,1665,262,1644,706,1443,866,2593,641,613,868,687,833,802,781
5-FCL-like-OF,41,50,32,30,38,26,29,44,15,60,32,25,100,51,54,14,14,5,8,13,16,21,25,5,9,8,6,0,1,13,8,11,1,0,2,4,0,19,1,3,2,2,4,1,0,0,2,0,1,1,2,0,0,0,1,0,0,0,4,0,1,0,1,0,0,1,0,1,0,0,2,0,1,0,1,0,1,0,1,0,0,1,0,77,74,21,12,9,26,11,4,0,6,4,16,4,21,8,3,10,13,0,2,4
Nudix KE,490,405,226,496,713,380,337,267,212,788,692,563,653,495,346,257,213,62,65,151,141,231,205,374,348,411,405,184,200,99,155,275,72,25,81,34,109,194,121,203,145,82,206,23,18,5,59,18,15,23,15,0,1,17,20,34,12,21,14,38,16,29,21,18,2,45,30,35,31,26,72,26,14,30,45,40,19,0,17,33,16,30,24,1151,1096,191,168,90,156,334,303,22,148,64,114,85,276,60,70,71,65,83,100,91
Carbon monoxide induced hydrogenase,26,20,11,14,18,4,21,12,5,40,27,10,23,18,18,10,9,6,5,19,16,17,16,20,20,19,15,52,2,11,4,6,3,5,1,15,3,3,7,1,2,3,4,3,1,0,2,1,2,3,0,0,0,1,4,1,1,0,1,2,1,1,1,0,0,1,0,2,0,2,2,0,0,1,0,3,0,0,0,1,0,0,0,101,101,27,35,28,47,32,53,17,77,37,59,77,461,39,53,209,193,445,481,463
Metabolite repair,2069,1821,1261,2567,3687,2002,1561,1432,1278,3282,3139,2382,3622,2735,2546,1129,1026,309,295,776,731,1249,1252,1440,1372,1704,1626,586,795,570,667,1269,854,659,888,535,847,994,551,826,692,554,892,118,99,22,283,108,120,134,95,0,1,85,97,183,44,106,87,186,99,150,104,66,8,146,172,169,148,129,225,129,66,151,148,177,110,3,100,140,44,114,118,5780,5606,993,727,380,858,1083,1163,124,755,294,524,329,917,222,232,260,195,334,308,356
Glutathione: Biosynthesis and gamma-glutamyl cycle,782,594,315,874,1067,608,548,415,299,1136,1049,770,1292,826,737,304,275,77,72,219,209,271,273,446,427,560,530,321,287,184,226,478,168,78,219,170,258,367,202,383,206,246,434,60,53,14,132,39,60,56,47,0,1,35,31,84,22,38,49,83,46,95,42,56,8,92,77,101,64,84,102,82,36,61,86,99,54,3,45,62,21,61,43,1976,1908,391,347,151,384,563,552,38,221,104,231,142,426,94,95,150,116,134,151,123
Salicylic acid biosynthesis1,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactose and Galactose Uptake and Utilization,3845,2662,1817,3821,5090,2771,2695,1893,1508,5615,4332,3127,5628,3569,2592,1590,1452,527,509,1203,1147,1875,1800,2656,2563,3243,3102,1709,1165,1591,1372,2862,1157,394,964,601,1052,1009,598,1089,1000,638,1806,119,152,32,318,148,138,245,142,1,0,111,134,202,62,143,81,231,128,203,113,134,6,161,186,260,192,203,327,187,103,182,155,182,116,9,136,144,63,135,110,5887,5679,1136,761,414,820,1073,1767,144,989,401,922,610,1848,405,475,513,438,520,567,574
Beta-Glucoside Metabolism,3652,2438,1699,3811,5088,2453,2756,2235,1505,5970,4158,2557,6234,3728,3118,1203,1109,392,396,1129,1090,1736,1666,1863,1825,2341,2243,984,844,817,758,1368,626,873,489,256,479,704,510,839,940,595,1378,136,147,28,400,179,156,249,145,0,2,119,127,248,89,126,99,217,146,234,143,107,9,175,203,233,193,195,337,175,104,172,153,228,106,11,118,149,73,127,121,5894,5728,1324,777,411,1211,1224,1307,155,971,392,1003,504,1640,371,451,475,386,405,446,464
D-Tagatose and Galactitol Utilization,1864,1582,1039,1843,2469,1437,1432,1165,865,2767,2516,1974,2962,2123,2008,1001,966,282,273,994,960,1555,1526,981,981,1214,1174,741,586,623,575,1043,652,716,970,558,999,569,405,573,641,478,977,117,93,16,219,104,96,95,75,1,2,63,79,160,45,71,65,174,86,190,97,66,1,97,124,122,115,121,192,117,54,93,120,184,77,9,89,99,39,79,112,4067,3962,806,584,292,756,664,695,101,566,228,520,368,1099,264,281,253,210,397,432,415
Glycolysis and Gluconeogenesis,1806,1637,1161,2588,3292,1885,1643,1352,1021,3281,2533,2287,4110,2535,2274,556,501,150,146,530,515,846,838,658,637,829,795,816,460,746,749,1310,931,160,589,377,625,664,307,490,712,437,812,143,101,34,302,143,166,160,106,1,1,102,113,232,65,104,108,240,108,187,120,107,7,150,176,201,166,151,276,175,72,146,129,200,110,12,103,153,56,151,110,4123,3999,1473,953,486,1347,1641,1598,151,965,409,798,512,1520,380,335,606,506,609,608,647
Phage cyanophage,2958,2656,1947,3312,4790,2631,2360,2029,1654,4143,4286,3170,4766,3599,3235,1269,1098,372,343,1018,989,1631,1599,1380,1357,1693,1688,892,998,1115,1280,1893,1364,1448,1745,1457,2080,1485,631,1002,853,802,1336,143,114,32,320,126,97,133,94,0,1,87,104,219,58,112,99,235,144,206,129,84,10,148,159,199,131,163,248,174,67,124,177,244,105,12,129,149,63,119,108,5173,5092,896,684,349,750,918,969,103,652,298,576,401,1088,270,259,327,319,385,388,438
dephospho-tetrahydromethanopterin biosynthesis MYousef,1809,1633,1132,2165,2894,1587,1403,1178,1058,2704,2803,2207,3246,2463,2225,777,689,240,245,643,605,992,971,960,934,1178,1161,794,739,696,748,1292,803,832,1013,613,1192,1008,387,737,520,497,1032,75,66,17,225,85,70,95,73,1,0,70,86,139,39,64,61,123,89,121,73,61,5,93,112,139,118,111,198,106,48,80,114,116,46,6,70,83,34,70,83,3764,3673,634,500,262,581,710,754,76,536,251,423,319,856,181,221,265,212,245,276,308
Coenzyme F420 synthesis,1619,1554,970,2088,2759,1309,1287,1091,855,2585,2375,1805,3054,2215,2206,426,372,115,103,396,357,615,587,397,386,466,452,375,371,772,631,1202,334,1118,1364,1163,1745,331,213,402,384,338,679,106,89,18,280,91,110,103,101,0,2,55,62,94,39,56,80,153,96,120,102,37,3,95,105,104,77,72,144,91,31,78,88,125,52,0,76,91,29,73,106,2937,2819,593,457,201,642,454,362,45,332,148,495,249,724,213,188,273,235,190,203,206
Biotin biosynthesis,32023,25448,17216,33888,45529,22803,23584,20179,14897,47566,42930,29963,55536,37673,34274,11734,10658,3275,3062,9882,9395,15176,14861,13221,12879,16555,15907,6871,7793,7902,8866,16272,8558,6899,8678,6844,9788,6639,5646,10229,6968,6322,11673,1406,1280,287,3308,1443,1528,1663,1343,5,13,934,1190,2186,649,1286,1004,2394,1343,2217,1294,1057,87,1543,1543,1891,1813,1671,2731,1786,816,1451,1885,2191,1155,78,1143,1316,542,1271,1300,64589,62819,12187,8255,4221,12198,12261,8227,1145,7072,2911,6849,4352,12584,3174,3152,3645,3185,3647,3640,3725
DNA repair_ bacterial,12623,10945,7757,14621,19953,10196,10426,8548,6781,19216,18203,14081,23788,16938,15917,5313,4849,1650,1556,4265,4016,6649,6442,6565,6429,8146,7836,4162,4459,3891,3875,7321,4753,5890,6462,4372,7603,5336,2699,4220,3534,2706,5321,632,511,118,1434,620,591,740,534,0,4,410,485,927,254,484,404,982,526,874,597,434,42,730,745,860,679,703,1182,712,329,619,787,895,553,51,563,569,272,551,544,26145,25218,5041,3914,2007,4733,5336,5795,618,3913,1710,3494,2277,7118,1540,1558,2000,1823,2117,2184,2311
ESAT-6 proteins secretion system in Mycobacteria (locus ESX-1),19,3,3,7,8,6,3,8,0,8,7,6,5,8,8,5,5,3,1,2,3,1,3,5,7,0,0,1,0,1,2,6,0,0,1,0,0,1,8,17,2,0,2,2,1,0,2,0,1,5,1,0,0,1,1,3,0,0,4,2,2,3,2,3,0,3,1,1,3,0,1,0,0,1,3,1,2,0,1,1,0,5,1,77,70,3,5,1,4,9,1,1,2,1,0,2,1,0,0,0,0,0,0,1
Protein secretion by ABC-type exporters,12,12,11,26,24,6,7,10,6,16,11,10,19,21,10,16,17,4,5,6,6,9,10,9,13,16,19,1,7,2,7,20,1,0,1,0,3,5,3,3,3,0,19,0,1,0,3,1,0,2,1,0,0,0,0,2,2,0,1,3,0,0,0,1,0,0,0,2,0,1,0,1,0,0,1,1,1,0,0,0,0,1,3,62,59,14,9,4,11,4,2,0,1,2,1,0,3,1,4,1,1,1,0,2
ABC-type iron transport system,9,18,10,20,30,19,17,11,8,18,31,31,34,31,12,2,7,3,3,11,17,11,10,6,9,13,11,14,1,0,0,0,0,0,0,0,0,0,4,4,7,1,4,0,0,0,1,5,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,2,1,1,0,0,2,1,1,0,0,1,0,0,1,0,26,32,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,1,1,0,1
ATP-dependent efflux pump transporter Ybh,498,392,273,407,774,448,334,308,288,679,744,492,656,491,435,237,216,67,48,330,294,422,415,197,204,240,219,213,123,38,77,103,50,5,46,11,56,15,75,145,112,143,293,13,13,3,21,14,23,23,13,0,0,10,14,33,6,11,14,30,12,18,14,15,1,18,18,21,31,18,24,18,5,20,35,33,15,0,15,8,11,27,19,872,888,193,264,97,205,411,921,32,235,101,324,298,836,176,150,277,276,434,428,473
Siderophore Pyoverdine,184,161,118,216,274,146,148,145,93,256,224,163,285,217,174,89,84,23,29,87,62,119,121,114,106,136,138,31,65,49,82,128,48,1,27,19,31,30,38,89,39,36,191,9,10,2,16,6,12,9,5,0,0,4,8,24,3,7,6,16,10,14,7,11,1,14,16,15,19,20,13,9,4,11,11,13,6,0,8,14,2,8,5,421,406,79,70,24,80,102,22,5,34,15,34,20,56,16,12,14,15,6,15,15
Biogenesis of c-type cytochromes,2814,2761,1742,3645,4973,2684,2240,2000,1673,4890,5079,3826,5296,4046,4024,1293,1152,380,346,1015,966,1581,1518,1743,1625,2123,2096,1139,1165,633,699,1429,1547,939,1326,869,1445,873,563,972,659,572,1471,117,111,15,265,125,112,146,85,0,0,85,127,222,64,117,86,190,94,173,105,79,3,163,158,195,136,152,256,144,79,142,156,191,103,11,119,114,55,134,113,6717,6452,1183,972,530,1031,1254,1540,117,780,362,924,697,1685,396,464,451,394,598,683,635
Streptococcus pneumoniae Vancomycin Tolerance Locus,1,4,3,5,3,6,1,1,0,3,4,2,3,3,4,2,0,0,0,1,2,2,1,1,3,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,9,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1
Bacitracin Stress Response,42,37,33,78,90,44,30,29,25,74,78,70,85,68,78,12,9,4,2,17,16,23,14,14,13,14,11,4,0,3,2,8,1,4,2,0,5,2,2,4,3,2,5,1,0,0,2,0,1,3,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,176,182,27,15,11,20,14,14,1,17,7,16,9,22,5,4,10,2,12,8,10
MRSA analysis Oli,2,0,0,2,8,3,2,2,0,3,2,4,3,4,0,1,1,0,0,0,1,2,2,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,4,2,0,0,0,2,3,0,0,0,1,0,1,1,0,0,0,0,0,1
Sialic Acid Metabolism,1343,1130,736,1466,2144,1096,961,906,667,2049,2024,1428,2045,1544,1310,678,590,198,189,468,432,710,673,825,789,1000,952,498,475,296,276,560,126,198,207,119,182,228,253,451,346,274,507,51,37,15,100,42,45,71,37,0,0,30,38,59,31,35,27,70,30,62,39,39,3,64,72,64,61,60,87,74,27,53,74,81,36,8,42,44,22,50,40,3166,3042,436,369,188,405,377,212,39,250,101,261,192,475,136,131,111,99,135,157,153
Alkanesulfonate assimilation,4838,4065,2746,4758,7624,4017,3604,3301,2469,7422,6635,4908,6997,5242,4685,2631,2449,755,744,2045,1919,3193,3146,3109,3084,3828,3662,1398,1861,595,716,1369,405,319,548,312,669,481,1247,1951,1120,975,1981,175,165,33,428,170,153,255,149,2,0,132,154,251,65,135,127,291,166,251,140,124,7,218,210,259,231,176,327,202,118,196,295,276,147,12,164,156,65,184,156,11381,10985,869,646,321,746,939,1119,99,578,231,630,426,1206,301,319,325,281,348,357,379
ABC transporter tungstate (TC 3.A.1.6.2),295,269,190,375,472,281,231,264,190,448,575,478,552,468,455,184,155,57,53,168,160,241,227,168,153,186,172,146,97,69,105,177,61,33,54,15,44,41,102,130,115,146,169,17,15,4,29,16,22,16,14,1,0,16,20,42,8,12,12,42,12,35,24,21,2,32,23,25,20,13,43,24,15,16,31,48,16,0,15,22,15,17,18,1045,1012,166,169,86,154,84,25,9,64,19,110,115,309,61,80,69,63,186,201,205
