,G1-Ah,G1-Bw,G1-Cox,G11-Ah,G11-Bw,G11-Cox,G2-Ah,G2-Bw,G2-Cox,G3a-Ah,G3a-Bw,G3a-Cox,G9-Ah,G9-Bw,G9-Cox,Ah-1-1,Ah-1-2,Ah-2-1,Ah-2-2,II-P-1-1,II-P-1-2,II-P-2-1,II-P-2-2,Of-1-1,Of-1-2,Of-2-1,Of-2-2,arctic_tundra_TL1,boreal_forest_BZ1,hot_desert_MD3,hot_desert_SF2,hot_desert_SV1,polar_desert_EB017,polar_desert_EB019,polar_desert_EB020,polar_desert_EB021,polar_desert_EB024,polar_desert_EB026,temeprate_coniferous_forest_DF1,temeprate_deciduous_forest_CL1,temeprate_grassland_KP1,tropical_forest_AR3,tropical_forest_PE6,2012_10_Soy_No,2012_11_Corn_Yes,2012_12_Soy_Yes,2012_13_Corn_Yes,2012_14_Soy_Yes,2012_15_Corn_Yes,2012_16_soy_Yes,2012_17_Corn_Yes,2012_18_soy_Yes,2012_19_Corn_Yes,2012_1_corn_No,2012_20_Soy_Yes,2012_2_Soy_No,2012_3_corn_No,2012_4_Soy_No,2012_5_Corn_No,2012_6_Soy_No,2012_7_corn_No,2012_8_Soy_No,2012_9_Corn_No,2013_11_Soy_Yes,2013_12_Corn_Yes,2013_13_Corn_Yes,2013_14_Corn_Yes,2013_15_Soy_Yes,2013_16_Corn_Yes,2013_17_Soy_Yes,2013_18_Corn_Yes,2013_19_Soy_Yes,2013_1_Soy_No,2013_20_Corn_Yes,2013_23_forest,2013_24_forest,2013_2_Corn_No,2013_3_Soy_No,2013_5_Soy_No,2013_6_Corn_No,2013_7_Soy_No,2013_8_Corn_No,2013_9_Soy_No,ERR1104480.fastq.gzaligned,ERR1104481.fastq.gzaligned,ERR476938_1.fastq.gzaligned,ERR476939_1.fastq.gzaligned,ERR476940_1.fastq.gzaligned,ERR476941_1.fastq.gzaligned,ERR476942_1.fastq.gzaligned,ERR476943_1.fastq.gzaligned,ERR476944_1.fastq.gzaligned,ERR476945_1.fastq.gzaligned,ERR476946_1.fastq.gzaligned,ERR481108_1.fastq.gzaligned,ERR481109_1.fastq.gzaligned,ERR481110_1.fastq.gzaligned,ERR481111_1.fastq.gzaligned,ERR481112_1.fastq.gzaligned,ERR515173_1.fastq.gzaligned,ERR515174_1.fastq.gzaligned,ERR515176_1.fastq.gzaligned,ERR515177_1.fastq.gzaligned,ERR515178_1.fastq.gzaligned
CRISPR-associated protein_ Cas5e family,20,16,12,12,29,22,10,13,5,31,33,19,34,19,26,4,6,1,0,1,2,9,8,5,8,14,14,3,0,2,1,4,10,11,8,12,9,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,31,30,7,16,7,9,12,20,4,12,5,7,8,20,3,4,15,17,17,24,20
CRISPR-associated protein_ Cas5h family,0,1,1,1,3,3,1,1,1,2,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,4,6,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,4,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0
CRISPR-associated protein_ Csa2 family,20,13,8,27,16,14,20,14,4,35,23,8,32,8,4,2,1,0,0,14,14,21,20,4,2,2,1,1,0,1,4,1,0,3,4,5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,6,1,3,1,1,0,0,0,2,4,12,1,2,7,5,7,12,12
CRISPR-associated protein_ Csd1 family,67,46,42,30,98,49,34,31,30,93,79,56,90,69,41,19,19,14,8,34,26,27,24,24,24,28,25,17,10,5,3,3,21,19,18,14,11,3,4,7,4,3,6,0,0,0,1,0,1,0,1,0,0,2,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,2,1,0,1,0,2,1,0,0,0,2,0,0,2,87,83,15,26,16,29,93,247,33,163,66,9,20,56,13,6,32,25,43,45,33
CRISPR-associated protein_ Csd2/Csh2 family,51,43,38,53,110,72,50,50,33,93,103,63,94,60,59,31,33,6,14,20,19,41,44,27,23,29,25,53,19,17,11,16,50,181,68,88,34,32,10,11,8,8,15,1,0,0,4,3,0,1,0,0,0,0,0,3,0,1,0,0,1,4,1,1,0,4,1,2,0,2,3,1,1,1,2,0,1,0,0,0,0,0,1,85,79,27,30,14,25,65,166,16,83,46,16,15,49,5,9,23,24,38,31,20
CRISPR-associated protein_ Cse1 family,30,28,8,13,40,33,23,11,14,19,27,22,29,27,32,8,6,4,2,4,4,7,8,6,4,6,8,6,2,3,1,2,9,8,3,8,7,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,39,43,12,14,10,16,11,37,2,17,6,7,6,31,7,3,17,19,27,23,22
CRISPR-associated protein_ Cse3 family,19,16,8,6,31,13,13,6,5,22,32,13,21,8,16,4,1,1,2,1,2,11,8,7,4,4,5,0,0,0,2,2,1,8,3,6,2,1,0,1,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,11,4,7,9,9,20,2,8,3,4,7,16,2,5,10,9,11,14,13
CRISPR-associated protein_ Cse4 family,29,35,23,34,53,38,25,15,15,34,44,41,59,40,44,18,13,2,4,10,5,14,17,8,9,12,13,16,4,11,7,10,40,31,38,48,27,11,0,4,3,8,6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,1,2,0,3,0,2,1,1,2,0,1,0,2,1,0,0,0,1,0,2,2,80,69,14,12,8,16,13,43,5,21,11,8,12,40,2,5,21,8,36,26,25
CRISPR-associated protein_ Csm2 family,16,14,5,18,21,11,10,6,5,26,15,13,34,21,10,3,3,1,1,5,8,7,7,12,9,5,7,16,12,0,4,8,3,0,0,0,2,0,7,7,1,1,23,0,0,0,1,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,9,8,3,0,1,0,0,0,0,4,1,3,1,4,1,1,0,0,1,0,0
CRISPR-associated protein_ Csn1 family,21,14,13,15,17,23,22,16,7,18,35,18,25,34,16,9,9,3,4,5,4,9,10,12,16,22,21,10,9,4,2,2,53,217,34,26,64,98,2,3,5,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,27,22,8,9,7,15,16,33,2,34,8,6,10,34,12,12,11,14,12,13,19
CRISPR-associated protein_ CT1972 family,1,0,1,0,2,0,0,1,1,3,6,2,1,0,1,0,0,1,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,5,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
CRISPR-associated RAMP Cmr2,24,24,11,18,27,7,12,28,12,19,38,16,29,10,11,3,1,1,3,8,6,5,6,4,4,7,7,2,0,1,9,1,6,3,1,6,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,10,7,10,11,2,1,2,9,5,5,10,24,1,4,3,2,7,8,10
CRISPR-associated RAMP Cmr4,35,14,8,32,29,11,14,15,13,27,26,13,29,8,12,4,5,0,1,2,3,16,10,2,3,7,6,2,1,1,1,0,3,2,2,2,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,9,10,9,8,5,1,2,4,4,3,3,20,3,1,9,3,5,4,6
CRISPR-associated RAMP Cmr6,25,8,7,10,12,5,18,10,1,16,16,4,14,6,4,1,1,1,1,1,0,2,3,2,1,6,3,0,0,0,0,0,0,0,2,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,1,5,4,5,1,1,2,3,0,3,3,8,0,1,2,0,2,4,5
CRISPR-associated RAMP protein_ Csm4 family,13,21,16,24,48,15,33,19,8,55,28,20,45,27,18,10,12,3,1,7,7,11,11,17,17,18,17,20,8,1,1,0,0,0,0,0,0,0,1,5,0,0,33,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,1,1,0,0,3,1,0,0,1,1,0,0,0,14,15,1,1,2,2,1,1,0,6,1,4,3,8,1,1,2,2,1,1,2
CRISPR-associated RAMP_ TM1809 family,0,1,2,0,1,1,1,2,0,1,3,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
CRISPR-associated RecB family exonuclease Cas4,59,50,31,53,85,45,43,33,35,77,74,32,86,44,42,16,15,6,7,14,16,33,31,13,10,19,15,16,9,18,6,11,20,94,32,37,16,44,2,10,0,2,3,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,2,0,0,0,1,0,3,0,1,1,1,1,0,0,0,0,1,1,0,0,0,35,35,13,21,11,23,46,142,13,69,35,14,14,48,7,9,34,14,55,32,36
CRISPR-associated RecB family exonuclease Cas4a,2,0,1,0,6,4,0,0,0,1,2,1,3,3,3,0,0,1,0,0,0,0,0,0,0,1,1,2,1,2,0,3,12,34,5,33,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,4,1,3,3,0,0,1,2,0,0,1,0,1,3,1,0,0,0
Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4),371,321,239,539,691,377,310,273,225,560,663,490,752,587,574,155,150,52,42,138,127,207,206,219,213,257,259,105,91,98,115,207,99,156,182,102,202,205,59,91,81,57,96,17,12,4,48,8,21,18,15,0,0,9,9,22,8,11,10,17,18,26,13,15,1,21,16,20,16,30,37,16,10,16,19,25,20,2,15,9,6,12,17,884,843,165,131,75,147,158,157,22,111,41,106,72,198,49,45,57,65,66,76,73
Crotonobetainyl-CoA:carnitine CoA-transferase (EC 2.8.3.-),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,0,0
crotonyl-CoA reductase,14,8,6,16,11,1,15,10,4,31,11,3,31,3,5,2,1,1,0,5,4,5,5,1,1,3,4,0,2,3,2,4,0,3,4,4,6,1,0,3,2,0,5,0,1,1,1,1,1,3,1,0,0,0,0,1,0,0,3,1,3,0,0,0,0,0,0,1,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,12,9,7,18,6,7,6,2,0,6,2,0,1,0,1,0,0,1,0,1,1
CrtT-methyltransferase-like protein,7,0,0,1,0,0,0,2,0,9,0,1,4,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,0,2,0,0,0,0,3,1,1,0,1,2,0,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,27,27,2,1,2,2,2,2,0,4,0,0,0,0,0,1,0,0,0,0,0
CrtV-methyltransferase-like protein,9,0,0,6,1,0,2,0,0,8,0,1,7,7,3,0,0,0,0,0,0,0,0,1,1,3,3,0,0,4,3,6,1,0,1,11,2,2,1,1,2,0,0,0,1,0,2,1,2,0,0,0,0,0,2,2,0,1,0,1,2,0,1,0,0,1,0,1,0,0,1,3,0,2,0,1,0,0,0,0,0,1,3,45,34,1,3,2,1,1,1,0,2,2,0,0,1,0,0,0,0,0,0,0
Cryptochrome,3,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,2,2,3,0,0,0,0,7,6,2,2,0,1,3,0,0,2,1,1,8,8,120,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0
CsdL (EC-YgdL) protein of the HesA/MoeB/ThiF family_ part of the CsdA-E-L sulfur transfer pathway,2,6,9,18,31,12,16,7,2,28,26,42,43,30,22,11,9,3,4,4,7,6,9,25,29,25,24,9,7,6,5,7,3,3,6,0,4,11,6,6,4,5,9,2,1,0,2,0,1,1,2,0,0,1,0,1,0,1,0,2,2,0,2,2,1,0,1,0,2,2,2,4,0,1,1,1,2,0,4,0,0,0,1,99,90,10,11,5,4,4,8,2,5,3,3,5,26,3,2,8,1,2,4,8
CsoS1D-associated protein 3,0,0,2,1,2,2,1,2,2,0,2,0,4,2,2,0,0,0,0,0,0,3,3,1,1,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1
C-terminal domain of CinA type E,2,0,3,1,2,2,2,2,0,2,2,1,4,1,1,2,1,1,1,1,1,2,1,2,1,3,4,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,1,0,1,0,1,0,0,0,1,0,3,1,0,0,3,0,0,0,0,1
C-terminal domain of CinA type S,788,731,521,933,1364,703,668,577,473,1136,1160,936,1549,1168,1213,284,255,72,75,293,277,408,384,352,334,457,430,131,128,202,195,341,255,305,288,276,339,283,77,117,123,80,177,29,22,4,56,23,29,19,18,0,0,16,23,31,10,19,12,40,15,28,31,21,2,29,30,27,13,29,38,28,17,20,19,29,22,4,29,21,10,24,23,1551,1499,360,297,132,350,248,329,40,265,107,223,131,490,97,98,74,88,168,167,154
C-terminal domain of CinA type S homolog,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTP synthase (EC 6.3.4.2),1702,1578,1103,2118,2778,1747,1319,1273,1059,2500,2615,2155,3124,2690,2595,667,657,207,203,590,567,950,914,883,873,1199,1170,1126,1145,1226,1294,2310,1747,1359,2258,1537,2475,1374,611,916,981,805,1441,173,150,37,433,167,166,160,144,1,1,115,142,283,78,119,113,255,171,278,179,108,11,215,239,236,205,211,350,203,81,147,188,265,144,14,159,145,71,151,151,3490,3471,727,588,303,650,810,936,96,619,259,495,365,900,210,215,249,240,322,302,323
CTP:molybdopterin cytidylyltransferase,174,217,119,232,340,179,133,141,108,252,328,256,345,251,233,79,56,24,22,68,72,114,109,99,81,111,106,30,18,18,17,27,3,47,10,3,10,55,17,19,13,12,33,3,7,0,10,1,4,1,3,0,0,3,2,3,1,1,3,5,5,6,3,2,1,8,2,4,2,2,6,5,2,3,3,7,2,0,4,2,1,4,8,407,371,59,81,30,87,106,124,9,56,18,54,44,145,29,22,33,27,51,39,49
Cu(I)-responsive transcriptional regulator,37,31,13,45,45,20,17,27,20,35,44,39,47,37,39,15,19,2,2,19,15,18,14,20,16,16,19,2,6,13,12,31,8,21,10,6,12,20,3,11,5,5,4,1,0,0,5,1,0,1,0,0,0,0,3,2,1,2,0,2,0,2,1,1,1,2,0,1,1,2,3,1,2,0,0,0,1,0,0,1,1,0,0,82,71,29,24,20,28,33,24,4,13,6,16,9,22,2,7,9,6,12,14,13
Curli production assembly/transport component CsgE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curli production assembly/transport component CsgF,1,0,1,1,0,0,0,0,1,0,0,3,0,3,0,1,2,0,1,2,2,0,0,1,1,1,1,0,0,0,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
Curli production assembly/transport component CsgG,2,2,6,3,9,3,5,6,7,8,21,25,9,7,2,9,7,1,1,2,2,1,1,25,25,28,29,4,4,5,1,11,2,1,0,0,2,42,3,8,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,22,19,3,5,3,5,6,2,0,1,0,1,0,4,0,0,1,1,4,3,2
Cyanate ABC transporter_ ATP-binding protein,72,60,44,67,111,47,34,47,37,133,111,63,115,70,79,28,32,11,10,23,19,43,39,40,35,44,47,33,61,14,16,35,14,2,7,4,19,16,49,57,38,38,12,8,3,0,8,4,6,2,2,1,0,1,3,10,3,3,4,17,6,5,7,3,0,2,2,6,5,6,6,7,3,4,6,15,4,0,2,5,5,3,8,183,179,13,11,6,11,6,2,0,5,6,3,2,4,2,3,1,2,2,2,0
Cyanate ABC transporter_ permease protein,54,55,37,61,83,53,36,46,24,121,88,64,70,77,54,19,15,8,12,31,26,32,31,38,32,31,29,20,44,5,15,31,13,0,8,3,11,14,42,42,34,27,8,7,1,0,9,3,3,5,2,0,0,3,3,8,2,3,3,5,5,16,4,1,0,6,1,7,4,4,8,4,1,5,10,14,5,2,3,4,3,4,5,157,157,18,10,4,11,6,3,1,5,4,1,1,3,5,0,0,0,0,1,0
Cyanate ABC transporter_ substrate binding protein,117,80,64,107,213,100,84,90,60,204,171,103,203,147,118,52,53,17,14,42,43,55,58,69,73,80,80,59,101,16,25,41,22,1,11,8,18,32,73,100,65,71,32,9,5,1,12,3,3,6,3,0,0,2,6,12,3,9,2,11,3,17,6,5,0,14,5,4,5,7,15,8,0,10,23,22,12,2,0,8,5,8,14,357,357,23,24,7,19,9,1,5,6,2,9,3,8,7,2,0,0,1,2,0
Cyanate hydratase (EC 4.2.1.104),83,62,54,81,133,47,66,48,27,114,98,62,83,92,58,50,39,13,14,38,36,72,67,50,51,56,51,50,51,14,21,40,17,3,54,67,62,32,39,89,34,23,63,2,2,0,4,3,7,2,2,0,0,3,0,6,1,3,3,7,4,6,4,0,0,4,1,5,9,5,3,9,3,5,12,7,3,0,2,2,0,1,3,205,188,14,15,4,16,12,19,0,12,9,16,13,35,10,6,19,11,17,15,10
Cyanate transport protein CynX,3,5,3,8,4,2,4,3,2,3,5,5,3,2,1,3,3,0,0,0,3,0,2,1,3,3,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,1,3,0,2,2,1,0,4,2,1,2,5,1,1,1,1,0,0,0
Cyanoalanine nitrilase (EC 3.5.5.4),46,57,41,106,131,38,56,39,26,126,120,81,145,80,86,42,38,19,14,50,50,64,69,46,46,52,49,44,25,9,15,22,6,19,20,13,26,5,13,18,16,18,49,3,0,0,5,3,1,3,1,0,0,2,5,7,1,2,1,5,3,4,3,0,0,4,3,3,2,1,14,3,4,2,3,7,1,0,2,0,1,3,0,176,154,20,16,3,16,9,4,2,10,2,15,19,40,3,9,9,11,15,12,13
Cyanobacteria-specific RpoD-like sigma factor_ type-1,1,2,1,2,4,3,2,2,0,1,2,0,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,19,2,3,0,1,0,7,28,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0
Cyanobacteria-specific RpoD-like sigma factor_ type-12,4,0,1,2,2,2,3,3,0,4,1,3,1,2,2,1,1,0,2,0,0,0,0,1,0,0,2,0,0,1,1,1,0,0,2,5,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteria-specific RpoD-like sigma factor_ type-13,0,0,0,2,0,0,1,0,1,0,0,1,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Cyanobacteria-specific RpoD-like sigma factor_ type-14,1,0,1,0,0,0,0,0,0,2,2,0,2,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5,1,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteria-specific RpoD-like sigma factor_ type-4,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Cyanobacteria-specific RpoD-like sigma factor_ type-6,0,1,1,0,3,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cyanobacteria-specific RpoD-like sigma factor_ type-9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanoglobin,92,95,69,86,143,91,55,76,43,137,170,139,158,136,145,86,63,37,15,102,89,146,136,60,59,71,69,7,5,3,3,6,1,0,3,0,2,3,4,11,4,3,8,2,1,0,2,0,0,0,1,0,0,0,0,2,0,0,0,1,0,3,1,0,0,1,1,0,1,1,3,1,0,2,5,2,1,0,0,0,2,1,0,211,195,39,29,9,38,19,22,0,6,10,29,15,54,23,13,34,21,18,21,34
Cyanophage-encoded porphyrin biosynthetic protein_ CobS,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanophycin synthase (EC 6.3.2.29)(EC 6.3.2.30),220,331,254,334,538,381,187,251,234,391,522,595,597,559,705,91,88,25,25,55,53,72,61,202,199,241,221,88,140,336,311,592,564,648,580,394,599,845,60,102,171,81,155,41,35,7,82,34,21,33,29,0,1,28,23,56,20,26,19,47,49,49,46,34,5,36,28,39,39,39,65,51,21,47,29,34,27,5,17,20,15,35,41,917,877,299,216,105,248,111,63,42,169,70,156,91,263,45,50,62,61,41,35,34
Cyanophycin synthase II,0,4,3,3,11,7,2,1,0,3,11,14,12,12,14,2,0,0,0,0,0,2,2,3,1,2,3,1,0,0,2,1,2,0,3,1,7,3,1,0,1,2,2,1,0,0,2,0,0,1,1,0,0,2,2,0,1,0,1,0,2,1,4,0,0,3,2,1,0,0,2,1,0,0,0,1,2,0,0,2,0,2,0,20,21,1,3,2,2,0,0,0,1,0,0,0,4,0,1,0,0,0,2,0
Cyanophycinase (EC 3.4.15.6),113,115,86,128,143,128,82,82,73,218,184,146,224,171,185,72,68,14,17,43,32,62,64,108,116,131,127,23,30,89,70,145,112,121,104,33,109,230,16,24,35,24,40,2,7,3,4,9,4,6,2,0,0,1,5,9,1,4,4,6,3,9,1,3,0,6,4,8,8,10,8,11,2,9,3,9,3,0,4,3,6,6,5,407,369,72,50,26,38,27,14,3,44,21,51,26,65,13,19,36,24,13,9,20
Cyanophycinase (EC 3.4.15.6) dimer,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cyclic AMP receptor protein,11,22,20,21,22,26,14,11,13,25,44,37,8,13,5,7,6,1,1,10,8,1,4,15,9,18,17,16,15,1,2,6,9,0,9,8,6,8,4,12,7,3,30,2,0,0,3,1,1,3,0,0,0,0,1,2,0,0,1,2,1,1,1,1,0,1,2,2,1,2,5,1,0,0,2,1,2,0,1,1,1,1,1,54,64,12,15,14,13,24,74,3,8,8,8,0,7,1,1,4,4,4,2,3
